date,state,positive,negative,death,hospitalized
20200724,Utah,36962,457109,273,2188
20200723,Utah,36099,449323,267,2150
20200722,Utah,35578,445824,260,2135
20200721,Utah,35012,440431,251,2109
20200720,Utah,34526,434878,247,2066
20200719,Utah,34117,428705,243,2033
20200718,Utah,33332,422908,243,2014
20200717,Utah,32572,415234,235,1984
20200716,Utah,31845,407683,234,1956
20200715,Utah,30891,401189,233,1913
20200714,Utah,30478,394043,226,1888
20200713,Utah,30030,388305,216,1850
20200712,Utah,29484,383574,215,1824
20200711,Utah,28855,376497,212,1797
20200710,Utah,28223,367751,207,1748
20200709,Utah,27356,361377,205,1700
20200708,Utah,26755,359005,201,1678
20200707,Utah,26033,356816,194,1653
20200706,Utah,25469,350373,190,1604
20200705,Utah,24952,346356,184,1582
20200704,Utah,24542,342174,181,1565
20200703,Utah,23866,332770,181,1529
20200702,Utah,23270,323116,176,1505
20200701,Utah,22716,320642,173,1476
20200630,Utah,22217,318536,172,1444
20200629,Utah,21664,312241,168,1417
20200628,Utah,21100,307349,167,1396
20200627,Utah,20628,302174,167,1365
20200626,Utah,20050,297518,166,1321
20200625,Utah,19374,292680,164,1290
20200624,Utah,18784,285954,163,1256
20200623,Utah,18300,283976,163,1226
20200622,Utah,17906,281406,158,1192
20200621,Utah,17462,278933,158,1184
20200620,Utah,17068,275809,155,1161
20200619,Utah,16425,270933,155,1145
20200618,Utah,15839,266846,152,1120
20200617,Utah,15344,263348,149,1102
20200616,Utah,14937,260763,145,1073
20200615,Utah,14608,258330,143,1041
20200614,Utah,14313,253400,139,1028
20200613,Utah,13981,248801,139,1012
20200612,Utah,13577,245209,139,988
20200611,Utah,13252,241416,131,968
20200610,Utah,12864,236896,128,954
20200609,Utah,12559,234301,127,931
20200608,Utah,12322,230577,124,918
20200607,Utah,12066,225885,121,900
20200606,Utah,11798,223351,121,890
20200605,Utah,11252,220945,120,870
20200604,Utah,10813,216694,117,850
20200603,Utah,10497,213484,117,829
20200602,Utah,10202,211589,113,801
20200601,Utah,9999,208113,113,789
20200531,Utah,9797,204117,113,775
20200530,Utah,9533,200572,112,763
20200529,Utah,9264,196591,107,753
20200528,Utah,8921,194586,106,734
20200527,Utah,8706,191920,105,716
20200526,Utah,8620,189972,101,696
20200525,Utah,8521,187947,98,692
20200524,Utah,8392,186041,97,688
20200523,Utah,8260,182519,97,676
20200522,Utah,8057,178777,93,660
20200521,Utah,7874,175000,92,647
20200520,Utah,7710,171954,90,631
20200519,Utah,7518,169793,88,619
20200518,Utah,7384,166638,80,595
20200517,Utah,7238,163514,80,586
20200516,Utah,7068,159706,78,578
20200515,Utah,6913,156305,77,566
20200514,Utah,6749,153370,75,558
20200513,Utah,6620,150166,75,553
20200512,Utah,6432,147053,73,535
20200511,Utah,6362,144223,68,517
20200510,Utah,6251,140259,67,512
20200509,Utah,6103,137191,66,498
20200508,Utah,5919,132769,61,488
20200507,Utah,5724,128819,61,476
20200506,Utah,5595,125407,58,464
20200505,Utah,5449,121266,56,456
20200504,Utah,5317,119344,50,441
20200503,Utah,5175,116927,50,436
20200502,Utah,4981,112823,49,418
20200501,Utah,4828,107730,46,403
20200430,Utah,4672,103829,46,390
20200429,Utah,4495,101283,45,383
20200428,Utah,4343,98096,45,370
20200427,Utah,4233,95962,41,349
20200426,Utah,4123,91579,41,345
20200425,Utah,3948,86258,41,329
20200424,Utah,3782,80915,39,315
20200423,Utah,3612,77015,35,301
20200422,Utah,3445,73015,34,288
20200421,Utah,3296,69062,32,277
20200420,Utah,3213,65098,28,268
20200419,Utah,3069,60486,27,259
20200418,Utah,2931,57013,25,251
20200417,Utah,2805,52966,23,244
20200416,Utah,2683,46995,21,238
20200415,Utah,2542,45072,20,221
20200414,Utah,2412,44064,19,213
20200413,Utah,2363,43424,18,201
20200412,Utah,2303,41931,18,195
20200411,Utah,2206,40340,18,190
20200410,Utah,2102,38660,17,183
20200409,Utah,1976,36397,13,168
20200408,Utah,1846,34270,13,158
20200407,Utah,1738,32909,13,148
20200406,Utah,1675,31719,13,138
20200405,Utah,1605,29287,8,124
20200404,Utah,1428,26615,8,117
20200403,Utah,1246,23002,7,106
20200402,Utah,1074,20155,7,100
20200401,Utah,1012,20155,7,91
20200331,Utah,887,17626,5,73
20200330,Utah,806,15197,4,
20200329,Utah,719,13274,2,
20200328,Utah,602,10710,2,
20200327,Utah,480,8764,2,
20200326,Utah,402,7308,1,
20200325,Utah,346,6491,1,
20200324,Utah,299,5524,1,
20200323,Utah,257,4790,1,
20200322,Utah,181,3508,1,
20200321,Utah,136,2424,0,
20200320,Utah,112,2035,0,
20200319,Utah,78,1448,0,
20200318,Utah,63,131,0,
20200317,Utah,51,131,0,
20200316,Utah,39,131,0,
