date,state,positive,new_positive,negative,death,new_death,hospitalized
20200724,Alaska,2748,64,197824,19,0,
20200724,Alabama,76005,1793,552979,1438,41,9157
20200724,Arkansas,37249,990,424215,394,8,2361
20200724,American Samoa,0,0,1037,0,0,
20200724,Arizona,156301,3357,680516,3142,79,7461
20200724,California,435334,9718,6480542,8186,159,
20200724,Colorado,42314,616,428563,1645,2,6149
20200724,Connecticut,48776,544,664296,4413,3,10712
20200724,Washington DC,11649,78,153611,581,0,
20200724,Delaware,14202,278,150124,578,49,
20200724,Florida,402312,12444,2874324,5768,136,23575
20200724,Georgia,161401,4813,1221043,3442,82,16752
20200724,Guam,337,5,19132,5,0,
20200724,Hawaii,1490,55,109801,26,1,155
20200724,Iowa,41271,637,400602,823,5,
20200724,Idaho,16736,414,143457,138,3,697
20200724,Illinois,169699,1599,2264066,7577,17,
20200724,Indiana,60598,996,618151,2884,4,8128
20200724,Kansas,25109,1005,252858,326,18,1596
20200724,Kentucky,25931,784,507545,691,7,3248
20200724,Louisiana,103734,2084,1095992,3715,29,
20200724,Massachusetts,114647,327,971605,8484,16,11770
20200724,Maryland,81766,930,722584,3422,13,12119
20200724,Maine,3757,20,146863,118,0,378
20200724,Michigan,85072,641,1529574,6400,5,
20200724,Minnesota,49488,767,873388,1606,5,4852
20200724,Missouri,39352,1652,573263,1178,-1,
20200724,MP,38,0,11300,2,0,4
20200724,Mississippi,49663,1610,361817,1463,27,3923
20200724,Montana,3039,129,146161,46,3,191
20200724,North Carolina,108995,2102,1441302,1746,20,
20200724,North Dakota,5614,121,137094,88,0,325
20200724,Nebraska,23818,332,225256,316,5,1548
20200724,New Hampshire,6318,23,143474,405,3,681
20200724,New Jersey,178345,458,1709299,15765,35,21184
20200724,New Mexico,18163,335,478822,596,5,2500
20200724,Nevada,40885,966,380986,722,13,
20200724,New York,410450,753,5034395,25090,9,89995
20200724,Ohio,81746,1560,1185882,3297,41,10072
20200724,Oklahoma,29116,1147,493926,484,7,2687
20200724,Oregon,16104,391,350463,282,9,1474
20200724,Pennsylvania,105571,1213,999377,7101,22,
20200724,Puerto Rico,13967,494,305972,191,3,
20200724,Rhode Island,18224,76,171804,1002,1,2146
20200724,South Carolina,78607,2001,550765,1385,51,4827
20200724,South Dakota,8200,57,95290,122,1,796
20200724,Tennessee,89078,2091,1233535,938,13,4120
20200724,Texas,369826,8701,2862105,4717,196,
20200724,Utah,36962,863,457109,273,6,2188
20200724,Virginia,82364,1127,907935,2067,13,11826
