date,positive,new_positive,death,new_death,hospitalized,new_hospitalized
20200724,4092928,75193,137655,1178,289355,3026
20200723,4017735,71027,136477,1039,286329,2500
20200722,3946708,69150,135438,1117,283829,2248
20200721,3877558,63642,134321,1038,281581,2551
20200720,3813916,56971,133283,362,279030,1647
20200719,3756945,64884,132921,526,277383,944
20200718,3692061,65180,132395,872,276439,2003
20200717,3626881,77233,131523,951,274436,2678
20200716,3549648,70953,130572,974,271758,2215
20200715,3478695,65382,129598,858,269543,2416
20200714,3413313,62879,128740,736,267127,2262
20200713,3350434,58465,128004,327,264865,1214
20200712,3291969,60978,127677,476,263651,939
20200711,3230991,63007,127201,757,262712,5141
20200710,3167984,66645,126444,854,257571,2318
20200709,3101339,58836,125590,867,255253,1719
20200708,3042503,62147,124723,897,253534,2035
20200707,2980356,51766,123826,922,251499,1960
20200706,2928590,41600,122904,242,249539,794
20200705,2886990,45789,122662,209,248745,590
20200704,2841201,54734,122453,306,248155,871
20200703,2786467,54223,122147,597,247284,1435
20200702,2732244,53826,121550,697,245849,2003
20200701,2678418,50674,120853,701,243846,1438
20200630,2627744,47462,120152,596,242408,1582
20200629,2580282,39175,119556,330,240826,670
20200628,2541107,41857,119226,271,240156,580
20200627,2499250,43783,118955,509,239576,1057
20200626,2455467,44421,118446,636,238519,1526
20200625,2411046,39072,117810,2501,236993,1257
20200624,2371974,38684,115309,724,235736,1310
20200623,2333290,33021,114585,708,234426,1257
20200622,2300269,27017,113877,283,233169,800
20200621,2273252,27284,113594,292,232369,514
20200620,2245968,31994,113302,628,231855,745
20200619,2213974,31046,112674,655,231110,1613
20200618,2182928,27527,112019,704,229497,1040
20200617,2155401,23873,111315,767,228457,1130
20200616,2131528,23435,110548,729,227327,1301
20200615,2108093,18510,109819,380,226026,543
20200614,2089583,21373,109439,355,225483,640
20200613,2068210,25341,109084,691,224843,1105
20200612,2042869,23477,108393,772,223738,1245
20200611,2019392,22032,107621,898,222493,1367
20200610,1997360,20803,106723,885,221126,1484
20200609,1976557,17175,105838,898,219642,1527
20200608,1959382,17012,104940,660,218115,714
20200607,1942370,18823,104280,446,217401,685
20200606,1923547,23106,103834,727,216716,1017
20200605,1900441,23352,103107,823,215699,1440
20200604,1877089,20839,102284,888,214259,-2841
20200603,1856250,20312,101396,991,217100,2255
20200602,1835938,19982,100405,959,214845,1585
20200601,1815956,20415,99446,665,213260,2796
20200531,1795541,21639,98781,649,210464,976
20200530,1773902,23762,98132,929,209488,1424
20200529,1750140,23522,97203,1179,208064,1715
20200528,1726618,22601,96024,1226,206349,1630
20200527,1704017,19385,94798,1318,204719,1713
20200526,1684632,16629,93480,640,203006,17320
20200525,1668003,18798,92840,555,185686,1002
20200524,1649205,20105,92285,678,184684,921
20200523,1629100,21590,91607,1060,183763,1378
20200522,1607510,24555,90547,1335,182385,4046
20200521,1582955,26513,89212,1388,178339,4630
20200520,1556442,21319,87824,1392,173709,1996
20200519,1535123,20853,86432,1325,171713,1597
20200518,1514270,20992,85107,844,170116,1157
20200517,1493278,20171,84263,846,168959,1199
20200516,1473107,24701,83417,984,167760,1856
20200515,1448406,24710,82433,1502,165904,1353
20200514,1423696,26705,80931,1871,164551,3206
20200513,1396991,21193,79060,1696,161345,1809
20200512,1375798,22663,77364,1472,159536,1579
20200511,1353135,18236,75892,887,157957,1238
20200510,1334899,21504,75005,1024,156719,1055
20200509,1313395,24810,73981,1432,155664,1708
20200508,1288585,27605,72549,1779,153956,6892
20200507,1260980,27490,70770,2740,147064,3742
20200506,1233490,25056,68030,1932,143322,2119
20200505,1208434,22449,66098,2445,141203,1983
20200504,1185985,22523,63653,1012,139220,1651
20200503,1163462,25767,62641,1206,137569,1963
20200502,1137695,29185,61435,1541,135606,2031
20200501,1108510,33056,59894,1753,133575,9789
20200430,1075454,29568,58141,2117,123786,2290
20200429,1045886,26641,56024,2692,121496,3415
20200428,1019245,25219,53332,2042,118081,2079
20200427,994026,22605,51290,1237,116002,3076
20200426,971421,27380,50053,1188,112926,2192
20200425,944041,35901,48865,1714,110734,2456
20200424,908140,34174,47151,1865,108278,2338
20200423,873966,31784,45286,1764,105940,2802
20200422,842182,28916,43522,2065,103138,3087
20200421,813266,26333,41457,2429,100051,2682
20200420,786933,25872,39028,1765,97369,2211
20200419,761061,27468,37263,1733,95158,2239
20200418,733593,27963,35530,1837,92919,3563
20200417,705630,31964,33693,2077,89356,3405
20200416,673666,30923,31616,2141,85951,3071
20200415,642743,30298,29475,2486,82880,4434
20200414,612445,25631,26989,2287,78446,3282
20200413,586814,25133,24702,1572,75164,4285
20200412,561681,27844,23130,1630,70879,3288
20200411,533837,30561,21500,1982,67591,2825
20200410,503276,34351,19518,2055,64766,4934
20200409,468925,34419,17463,1972,59832,3923
20200408,434506,30534,15491,1944,55909,4311
20200407,403972,30737,13547,1956,51598,2981
20200406,373235,28937,11591,1254,48617,2946
20200405,344298,25550,10337,1285,45671,3903
20200404,318748,33252,9052,1440,41768,5086
20200403,285496,31945,7612,1259,36682,4554
20200402,253551,27992,6353,1149,32128,4175
20200401,225559,25773,5204,988,27953,4228
20200331,199786,24694,4216,861,23725,3906
20200330,175092,21897,3355,577,19819,2536
20200329,153195,19655,2778,516,17283,2775
20200328,133540,19724,2262,519,14508,2425
20200327,113816,19044,1743,401,12083,2563
20200326,94772,17656,1342,311,9520,2499
20200325,77116,12873,1031,232,7021,1904
20200324,64243,10632,799,231,5117,1180
20200323,53611,11442,568,97,3937,914
20200322,42169,9259,471,143,3023,1003
20200321,32910,6885,328,61,2020,1912
20200320,26025,6255,267,68,108,23
20200319,19770,4671,199,46,85,18
20200318,15099,3171,153,31,67,12
20200317,11928,3613,122,22,55,13
20200316,8315,8315,100,100,42,42
